1|1|4|False
2|1|5|False
3|1|6|False
4|2|4|True
5|2|1|False
6|3|4|False
7|3|14|False
8|3|15|False
9|3|16|False
10|4|6|False
11|4|8|False
12|4|7|False
13|5|13|False
14|5|12|False
17|7|0|False
18|7|1|False
19|9|4|False
20|9|8|False
21|10|4|True
22|10|7|False
23|11|4|False
24|11|9|False
25|12|4|True
26|12|5|True
27|13|3|True
28|13|3|False
29|14|4|True
30|14|14|True
31|14|15|True
32|14|16|True
33|8|1|True
34|8|2|True
35|8|3|True
36|8|4|False
37|15|4|False
38|15|5|False
39|15|6|False
40|15|8|False
41|15|7|False
42|16|5|True
43|16|4|True
44|16|13|True
45|16|16|True
46|17|6|True
47|17|5|False
48|17|4|False
49|17|10|False
50|17|9|False
51|18|5|False
52|18|7|False
53|19|5|False
54|19|5|False
55|19|4|False
56|20|6|False
57|20|5|False
58|43|2|True
59|43|5|False
60|43|9|False
61|44|3|True
62|44|5|False
63|44|8|False
64|45|6|True
65|45|5|False
66|45|7|False
67|46|6|True
68|46|9|True
69|46|17|False
70|47|7|True
71|47|7|False
72|47|9|False
73|48|14|True
74|48|15|False
75|48|16|False
76|49|4|False
77|49|5|False
78|49|6|False
79|50|3|False
80|50|8|False
81|51|2|False
82|51|5|False
83|52|0|False
84|52|3|False
